歌曲,歌手,連結,歌詞
怎麼了 (What's Wrong),Eric 周興哲,https://www.kkbox.com/tw/tc/song/EFA00x2H3UJ2XuGH2XuGH0XL-index.html,
Without You,高爾宣 OSN,https://www.kkbox.com/tw/tc/song/WZW00W-.W0olAyGYlAyGY0XL-index.html,
怪美的 (Ugly Beauty),蔡依林 (Jolin Tsai),https://www.kkbox.com/tw/tc/song/cwY00-s4oY3rugpZrugpZ0XL-index.html,
備胎 (feat. Eetu Kalavainen),謝和弦 (R-chord),https://www.kkbox.com/tw/tc/song/ydR00K7A0TnUF7q5UF7q50XL-index.html,
綠色,陳雪凝,https://www.kkbox.com/tw/tc/song/KhH00-42I8opspdApspdA0XL-index.html,
Why You Gonna Lie?,高爾宣 OSN,https://www.kkbox.com/tw/tc/song/ivf00Q3K0G4cjMDocjMDo0XL-index.html,
最後一次,高爾宣 OSN,https://www.kkbox.com/tw/tc/song/88s00wY1oSK1KDLQ1KDLQ0XL-index.html,
路過人間 (Walking by the world) - 電視劇＜我們與惡的距離＞插曲,郁可唯 (Yisa Yu),https://www.kkbox.com/tw/tc/song/I3H00CYUPGoJFOTAJFOTA0XL-index.html,
說好不哭 (With 五月天阿信) (Won’t Cry (With Mayday Ashin)),周杰倫 (Jay Chou),https://www.kkbox.com/tw/tc/song/bY500E0AH64MegXkMegXk0XL-index.html,
岩石裡的花 (Love Finds A Way),G.E.M.鄧紫棋,https://www.kkbox.com/tw/tc/song/q9M00L79aM3Wbe0NWbe0N0XL-index.html,
真的傻 (Foolish Love) - 電影<一吻定情>追愛版主題曲,徐佳瑩 (LaLa Hsu),https://www.kkbox.com/tw/tc/song/H7200W9Y6-4kHUIskHUIs0XL-index.html,
腦公 (Hubby),蔡依林 (Jolin Tsai),https://www.kkbox.com/tw/tc/song/Fyz00684oY3BDfNZBDfNZ0XL-index.html,
天黑請閉眼 (Werewolves),陳零九 (Nine Chen),https://www.kkbox.com/tw/tc/song/dIF00xOOkH43Ve4g3Ve4g0XL-index.html,
那女孩對我說,梁文音 (Rachel Liang),https://www.kkbox.com/tw/tc/song/Tnt00HY608-RZ4y0RZ4y00XL-index.html,
你的酒館對我打了烊,陳雪凝,https://www.kkbox.com/tw/tc/song/gNO00DIILKoL0eUiL0eUi0XL-index.html,
玫瑰少年 (Womxnly),蔡依林 (Jolin Tsai),https://www.kkbox.com/tw/tc/song/rzW008s4oY3ECQPZECQPZ0XL-index.html,
終於了解自由 (Freedom),Eric 周興哲,https://www.kkbox.com/tw/tc/song/ZlO00HIH3UJQxvuHQxvuH0XL-index.html,
別讓我走遠 - 電視劇<我們與惡的距離>主題曲,林宥嘉 (Yoga Lin),https://www.kkbox.com/tw/tc/song/Iyw00K5-Z8oU9wQYU9wQY0XL-index.html,
