歌曲,歌手,連結,歌詞
想見你想見你想見你 (Miss You 3000) - 電視劇<想見你>片尾曲,八三夭 (831),https://www.kkbox.com/tw/tc/song/qYv008Z4MUKDJ7ruDJ7ru0XL-index.html,
句號 (Full Stop),G.E.M.鄧紫棋,https://www.kkbox.com/tw/tc/song/UVS00EP0LaKNm80uNm80u0XL-index.html,
與我無關,阿冗,https://www.kkbox.com/tw/tc/song/kmr005o1KCpANxizANxiz0XL-index.html,
你的答案,阿冗,https://www.kkbox.com/tw/tc/song/8lW00D41rUKKWZNYKWZNY0XL-index.html,
少年,夢然,https://www.kkbox.com/tw/tc/song/0Wh009q4m8pGTN6BGTN6B0XL-index.html,
刻在我心底的名字 (Your Name Engraved Herein) - 電影〈刻在你心底的名字〉主題曲,盧廣仲 (Crowd Lu),https://www.kkbox.com/tw/tc/song/8Fl008Z14ALDIqB7DIqB70XL-index.html,
CHANGE,瘦子E.SO,https://www.kkbox.com/tw/tc/song/by.00WOSmSpknDuzknDuz0XL-index.html,
你的情歌 (Your Love Song) - 電影<你的情歌>主題曲,TANK 呂建忠,https://www.kkbox.com/tw/tc/song/FDA00622IKLAqcBZAqcBZ0XL-index.html,
透明 (Selfless),G.E.M.鄧紫棋,https://www.kkbox.com/tw/tc/song/fXx00Sq.sS5fvMSHfvMSH0XL-index.html,
很久以後 (Long After) - 電影《可不可以，你也剛好喜歡我》主題曲,G.E.M.鄧紫棋,https://www.kkbox.com/tw/tc/song/-OJ00H6.sS5Qd5eHQd5eH0XL-index.html,
愛上現在的我 (Right now!),閻奕格 (Janice Yan),https://www.kkbox.com/tw/tc/song/eCJ00QHH3C.dDdPxdDdPx0XL-index.html,
她沒在看我 (She Ain’t Watchin’),瘦子E.SO,https://www.kkbox.com/tw/tc/song/LOB0069SlH5BJl9pBJl9p0XL-index.html,
摩天動物園 (City Zoo),G.E.M.鄧紫棋,https://www.kkbox.com/tw/tc/song/dol0062.PK5AtvqHAtvqH0XL-index.html,
飛鳥和蟬,任然,https://www.kkbox.com/tw/tc/song/pvw0056XIDp8kCcN8kCcN0XL-index.html,
