歌曲,歌手,連結,歌詞
Kiss Me More,Doja Cat,https://www.kkbox.com/tw/tc/song/ulu00aJKqGNvE2aXvE2aX0XL-index.html,
Higher (feat. iann dior),Clean Bandit (清潔的盜賊),https://www.kkbox.com/tw/tc/song/NDaQW00w1QOTa6UjE6UjE0X4-index.html,
Grey,Why Don't We,https://www.kkbox.com/tw/tc/song/gmw00K1Wc5MTuKcwTuKcw0XL-index.html,
Flames (feat. Avril Lavigne),MOD SUN Avril Lavigne,https://www.kkbox.com/tw/tc/song/R8K00X.O19Mna0Rcna0Rc0XL-index.html,
Break My Heart,JC Stewart,https://www.kkbox.com/tw/tc/song/G3G00U7a0-Mixu9oixu9o0XL-index.html,
Feels Like You,Faime,https://www.kkbox.com/tw/tc/song/pPR00IJ-HD6TS7omTS7om0XL-index.html,
Renegades,ONE OK ROCK,https://www.kkbox.com/tw/tc/song/ZyI00Y8D78NowldHowldH0XL-index.html,
cheers,blackbear Wiz Khalifa,https://www.kkbox.com/tw/tc/song/AFE00Gn1o9MPo31GPo31G0XL-index.html,
34+35 - Remix,Ariana Grande (亞莉安娜),https://www.kkbox.com/tw/tc/song/Jiz00MO4o.aZdh2qZdh2q0XL-index.html,
Flags,Coldplay (酷玩樂團),https://www.kkbox.com/tw/tc/song/5pb008m9sT6Dq4fQDq4fQ0XL-index.html,
Lead the Way,James Newton Howard (詹姆斯‧紐頓霍華),https://www.kkbox.com/tw/tc/song/ldu00M3AG6MYl4pKYl4pK0XL-index.html,
The Way You Felt,Alec Benjamin,https://www.kkbox.com/tw/tc/song/tcE00G0Wd0bNt2dZNt2dZ0XL-index.html,
Talk About Love,Zara Larsson (莎拉萊森),https://www.kkbox.com/tw/tc/song/lDp004ZTLDa7O5ha7O5ha0XL-index.html,
Connexion,Zayn (贊恩),https://www.kkbox.com/tw/tc/song/LbD00MHXMTaZHkHyZHkHy0XL-index.html,
Picture Of You,Sara Kays,https://www.kkbox.com/tw/tc/song/C5z00WL4W87k.RxFk.RxF0XL-index.html,
Save Your Tears - Remix,The Weeknd Ariana Grande,https://www.kkbox.com/tw/tc/song/Zl-00-.P.4brB8TbrB8Tb0XL-index.html,
boyfriend material,Gareth.T,https://www.kkbox.com/tw/tc/song/ake008Z63UMDJOEoDJOEo0XL-index.html,
Backseat Rider,Sara Kays,https://www.kkbox.com/tw/tc/song/Jus00Wb5q0blJRHRlJRHR0XL-index.html,
Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Taylor Swift (泰勒絲),https://www.kkbox.com/tw/tc/song/zBb00IN18KNTc5j5Tc5j50XL-index.html,
Lifestyle (feat. Adam Levine),Jason Derulo (A咖傑森),https://www.kkbox.com/tw/tc/song/fuU009K54DqF9UxsF9Uxs0XL-index.html,
Big,RITA ORA Imanbek,https://www.kkbox.com/tw/tc/song/my900YGSl.qp5rr8p5rr80XL-index.html,
Overdrive,Conan Gray,https://www.kkbox.com/tw/tc/song/z0U7D00w1S5U66WSu6WSu0X4-index.html,
dancing in the kitchen,Zachary Knowles,https://www.kkbox.com/tw/tc/song/Lqf008KANKNClUihClUih0XL-index.html,
LUFU,ØZI,https://www.kkbox.com/tw/tc/song/DVA00W4U8Xqjy1eCjy1eC0XL-index.html,
New Love,Silk City Ellie Goulding,https://www.kkbox.com/tw/tc/song/1hk004LHYDq6sT3c6sT3c0XL-index.html,
Butter,BTS防彈少年團 (BANGTAN BOYS),https://www.kkbox.com/tw/tc/song/LnK00LdaJWrXyMdhXyMdh0XL-index.html,
this is how you fall in love,Jeremy Zucker Chelsea Cutler,https://www.kkbox.com/tw/tc/song/ue600DdDqXqM13tgM13tg0XL-index.html,
when was it over?,Sasha Sloan,https://www.kkbox.com/tw/tc/song/Oqf00OI0-0b-UfvR-UfvR0XL-index.html,
We're Good,Dua Lipa,https://www.kkbox.com/tw/tc/song/bAL00S7M2XqeBDiSeBDiS0XL-index.html,
If You Love Her - feat. Meghan Trainor,Forest Blakk,https://www.kkbox.com/tw/tc/song/7NE00G5SICNOBeqxOBeqx0XL-index.html,
Baila Conmigo,Various Artists,https://www.kkbox.com/tw/tc/song/Z9K00XH8WY6mj9aMmj9aM0XL-index.html,
Real Groove - Studio 2054 Remix,Kylie Minogue & Dua Lipa,https://www.kkbox.com/tw/tc/song/jI-00Xna69Mo5zZGo5zZG0XL-index.html,
While I Can,林俊傑 (JJ Lin),https://www.kkbox.com/tw/tc/song/Ndd00Ppa6WNcIfq1cIfq10XL-index.html,
Slow Down,Why Don't We,https://www.kkbox.com/tw/tc/song/ky600H00s5MQEbCCQEbCC0XL-index.html,
I Could Be Yours,黃玠瑋 (Zooey Wonder),https://www.kkbox.com/tw/tc/song/X2900LHGm.aWrZC6WrZC60XL-index.html,
Easy,Troye Sivan Kacey Musgraves,https://www.kkbox.com/tw/tc/song/AQV00wO9tT615ip215ip20XL-index.html,
Only Wanna Be With You - Pokémon 25 Version,Post Malone (巨星馬龍),https://www.kkbox.com/tw/tc/song/K9g005I.ZIM97Wac97Wac0XL-index.html,
Up,Cardi B,https://www.kkbox.com/tw/tc/song/rcd00Xo60E6o6iwYo6iwY0XL-index.html,
emily,Jeremy Zucker Chelsea Cutler,https://www.kkbox.com/tw/tc/song/Jfx00TtDqXqiT5ZgiT5Zg0XL-index.html,
You All Over Me (Taylor’s Version) (From The Vault),Taylor Swift (泰勒絲),https://www.kkbox.com/tw/tc/song/ul.00E80H0NN89G9N89G90XL-index.html,
Name,Justin Bieber (小賈斯汀),https://www.kkbox.com/tw/tc/song/eds00T52G0NgQIjXgQIjX0XL-index.html,
deja vu,Olivia Rodrigo (奧莉維亞),https://www.kkbox.com/tw/tc/song/Zmi00O2E117ZttfrZttfr0XL-index.html,
Glad You Exist,Dan + Shay,https://www.kkbox.com/tw/tc/song/Rrd009WDo5qFXFuWFXFuW0XL-index.html,
beside you,keshi,https://www.kkbox.com/tw/tc/song/Vja00TY-NWNhUJEthUJEt0XL-index.html,
BED,Joel Corry x RAYE,https://www.kkbox.com/tw/tc/song/-il00A8S6E6HDKxIHDKxI0XL-index.html,
Selfish Love,DJ Snake Selena Gomez,https://www.kkbox.com/tw/tc/song/V-s00GdHoYMPaKHGPaKHG0XL-index.html,
You,Regard Troye Sivan Tate McRae,https://www.kkbox.com/tw/tc/song/WwL00I2HpKNSkVrxSkVrx0XL-index.html,
You,benny blanco Marshmello Vance Joy,https://www.kkbox.com/tw/tc/song/ZS.0088KJXqCRQhKCRQhK0XL-index.html,
Cry Over Boys,Alexander 23,https://www.kkbox.com/tw/tc/song/Vuj00SmS5U6ff3Fuff3Fu0XL-index.html,
Nothing's the Same,Alexander 23,https://www.kkbox.com/tw/tc/song/SHn005IS5U696Xfu96Xfu0XL-index.html,
Floating Through Space,Sia and David Guetta,https://www.kkbox.com/tw/tc/song/rPW005PPaA69X51i9X51i0XL-index.html,
I Want Love,Gryffin Two Feet,https://www.kkbox.com/tw/tc/song/KFp005W4JA69YmA69YmA60XL-index.html,
Space Melody (Edward Artemyev),VIZE Alan Walker,https://www.kkbox.com/tw/tc/song/ERm00.1CWD6s6qYQs6qYQ0XL-index.html,
Higher Power,Coldplay (酷玩樂團),https://www.kkbox.com/tw/tc/song/2gOBH00wK9kGbqRzRqRzR0X4-index.html,
Between You & Me (feat. Ashley Cooke),Roman Alexander,https://www.kkbox.com/tw/tc/song/cs10084.bCNCDsqLCDsqL0XL-index.html,
Stars Align (Alle Farben Remix),R3HAB Jolin Tsai,https://www.kkbox.com/tw/tc/song/6Yb00LII6-NWv-W5Wv-W50XL-index.html,
test drive,Ariana Grande (亞莉安娜),https://www.kkbox.com/tw/tc/song/vQj00CL.H6MIpGXSIpGXS0XL-index.html,
Sorry,Alan Walker ISÁK,https://www.kkbox.com/tw/tc/song/azC00WLQG5qkbb70kbb700XL-index.html,
Cover Me In Sunshine,P!nk Willow Sage Hart,https://www.kkbox.com/tw/tc/song/Pk800y1LdM64rASm4rASm0XL-index.html,
Best Friend (feat. Doja Cat),Saweetie,https://www.kkbox.com/tw/tc/song/oi200K72OD6UERJeUERJe0XL-index.html,
Need Someone,Zara Larsson (莎拉萊森),https://www.kkbox.com/tw/tc/song/8Sz009KLWUMFB4cSFB4cS0XL-index.html,
Line By Line (feat. Maren Morris),Jp Saxe,https://www.kkbox.com/tw/tc/song/w0900-s1NDMruPuCruPuC0XL-index.html,
Kissin' In The Cold,JP Saxe Julia Michaels,https://www.kkbox.com/tw/tc/song/xjp00xYK9L63iT7e3iT7e0XL-index.html,
Your Power,Billie Eilish (怪奇比莉),https://www.kkbox.com/tw/tc/song/LLW00QJA6GbdKfORdKfOR0XL-index.html,
Chemtrails Over The Country Club,Lana Del Rey (拉娜德芮),https://www.kkbox.com/tw/tc/song/dnS00SWT9K7exSF3exSF30XL-index.html,
What Other People Say,Sam Fischer Demi Lovato,https://www.kkbox.com/tw/tc/song/C-10064181qAy5bCAy5bC0XL-index.html,
Don't Play,Anne-Marie x KSI x Digital Farm Animals,https://www.kkbox.com/tw/tc/song/d4y00Dma69MMEp6GMEp6G0XL-index.html,
Fake A Smile,Alan Walker salem ilese,https://www.kkbox.com/tw/tc/song/DlR00-b0M26rGIIMrGIIM0XL-index.html,
Do You Believe,Ali Gatie,https://www.kkbox.com/tw/tc/song/L.t00HmX8W7SBlabSBlab0XL-index.html,
It’s Not You It’s Me,EBEN,https://www.kkbox.com/tw/tc/song/KS800W-LG.6l9QOYl9QOY0XL-index.html,
LazyBaby,Dove Cameron,https://www.kkbox.com/tw/tc/song/m6Q00Xk-.4NnuKCxnuKCx0XL-index.html,
Dandelion,Galantis & JVKE,https://www.kkbox.com/tw/tc/song/.Pv00P7CGWqa.Iroa.Iro0XL-index.html,
Starstruck,Years & Years (這些年樂團),https://www.kkbox.com/tw/tc/song/BjR0091D-KNEOis.EOis.0XL-index.html,
JUST DO YOU,ØZI,https://www.kkbox.com/tw/tc/song/1qe00OoU8Xq.pXkC.pXkC0XL-index.html,
Sacrifice,Bebe Rexha (碧碧蕾克莎),https://www.kkbox.com/tw/tc/song/xME005XSt2M9cz5O9cz5O0XL-index.html,
Butterflies,James TW,https://www.kkbox.com/tw/tc/song/M6000ULa00NjSR3ljSR3l0XL-index.html,
Good Days,SZA,https://www.kkbox.com/tw/tc/song/Px700Ko5LLMVpd4-Vpd4-0XL-index.html,
A Day At A Time,Gentle Bones Clara Benin,https://www.kkbox.com/tw/tc/song/Daz0058.W268sFDM8sFDM0XL-index.html,
The Business, Pt. II Tiësto & Ty Dolla $ign,https://www.kkbox.com/tw/tc/song/TcF00.K54DqsrlPssrlPs0XL-index.html,
Lotus Inn,Why Don't We,https://www.kkbox.com/tw/tc/song/DGt00GnScH6PqYiyPqYiy0XL-index.html,
John Hughes Movie,Maisie Peters,https://www.kkbox.com/tw/tc/song/GqU00.ZK366tRUHItRUHI0XL-index.html,
Don't Wanna Stop,AlphaLove,https://www.kkbox.com/tw/tc/song/8255n00wL8.X6u5Fqu5Fq0X4-index.html,
