歌曲,歌手,連結,歌詞
Stars Align,R3HAB Jolin Tsai,https://www.kkbox.com/tw/tc/song/cDH005JHJC799OBv99OBv0XL-index.html,
Peaches,Justin Bieber (小賈斯汀),https://www.kkbox.com/tw/tc/song/RFX00S0L9K7dkOa3dkOa30XL-index.html,
Afterglow,Ed Sheeran (紅髮艾德),https://www.kkbox.com/tw/tc/song/0BT0057Hp9M8m-gs8m-gs0XL-index.html,
On The Ground,ROSÉ,https://www.kkbox.com/tw/tc/song/UGu00PIKX87atAvratAvr0XL-index.html,
Anyone,Justin Bieber (小賈斯汀),https://www.kkbox.com/tw/tc/song/2nA00UH.q5ajD9ZajD9Za0XL-index.html,
SLIDE,ØZI,https://www.kkbox.com/tw/tc/song/R.E00QIPp5qdIM9cdIM9c0XL-index.html,
Hold On,Justin Bieber (小賈斯汀),https://www.kkbox.com/tw/tc/song/SLn00OtTsYMa8-1Ga8-1G0XL-index.html,
willow,Taylor Swift (泰勒絲),https://www.kkbox.com/tw/tc/song/bLc00UM9pX6jTZI6jTZI60XL-index.html,
Love Story (Taylor’s Version),Taylor Swift (泰勒絲),https://www.kkbox.com/tw/tc/song/3-E00PpI5U6cGlXQcGlXQ0XL-index.html,
Gone,ROSÉ,https://www.kkbox.com/tw/tc/song/eKq00DYKX87Lau9rLau9r0XL-index.html,
Beautiful Mistakes,Maroon 5 Megan Thee Stallion,https://www.kkbox.com/tw/tc/song/23500CIW6YMIdGrkIdGrk0XL-index.html,
Leave The Door Open,Bruno Mars Anderson .Paak Silk Sonic,https://www.kkbox.com/tw/tc/song/vne00-ZTsYMr3vxGr3vxG0XL-index.html,
Bedroom (feat. Anne-Marie),林俊傑 (JJ Lin),https://www.kkbox.com/tw/tc/song/AwC009IH2SNF2zXTF2zXT0XL-index.html,
Vibez,Zayn (贊恩),https://www.kkbox.com/tw/tc/song/8AX00SaDrDafIuEMfIuEM0XL-index.html,
At My Worst (feat. Kehlani),Pink Sweat$,https://www.kkbox.com/tw/tc/song/VLD00O-5dHq.D184.D1840XL-index.html,
0.03,ØZI,https://www.kkbox.com/tw/tc/song/No.00ClI3HqJkW.KJkW.K0XL-index.html,
Like You Do,林俊傑 (JJ Lin),https://www.kkbox.com/tw/tc/song/o6700E5a6WNN0R41N0R410XL-index.html,
drivers license,Various Artists,https://www.kkbox.com/tw/tc/song/qXK00LX8WY6XSsoMXSsoM0XL-index.html,
