歌曲,歌手,連結,歌詞
Look What You Made Me Do,Taylor Swift (泰勒絲),https://www.kkbox.com/tw/tc/song/Jlx0051.a438TZgN8TZgN0XL-index.html,
Flames,David Guetta & Sia,https://www.kkbox.com/tw/tc/song/rfQ00E04X0ZMe2yzMe2yz0XL-index.html,
You Are The Reason (因為你),Calum Scott (卡倫史考特),https://www.kkbox.com/tw/tc/song/VHM00X1TZSJmB4i1mB4i10XL-index.html,
I'm a Mess,Bebe Rexha (碧碧蕾克莎),https://www.kkbox.com/tw/tc/song/Ot900T2KdSngGXf5gGXf50XL-index.html,
The Greatest Show,Various Artists,https://www.kkbox.com/tw/tc/song/mtx00C1T543Hz4FFHz4FF0XL-index.html,
Happy Now,Zedd Elley Duhé,https://www.kkbox.com/tw/tc/song/SM700MH01T3ZEVYFZEVYF0XL-index.html,
Lullaby,R3HAB Mike Williams,https://www.kkbox.com/tw/tc/song/gin005164W38Q-wZ8Q-wZ0XL-index.html,
Happier,Marshmello Bastille,https://www.kkbox.com/tw/tc/song/pCc00xb-oHJ439Zp439Zp0XL-index.html,
All The Stars,Kendrick Lamar The Weeknd SZA,https://www.kkbox.com/tw/tc/song/d4f005cA6CJA1xXdA1xXd0XL-index.html,
Cheap Thrills,Various Artists,https://www.kkbox.com/tw/tc/song/QS6004HC1C36c.Ar6c.Ar0XL-index.html,
Don't Leave Me Alone (feat. Anne-Marie),David Guetta (大衛庫塔),https://www.kkbox.com/tw/tc/song/9QP005s1r.3AbK3rAbK3r0XL-index.html,
Toxic,Various Artists,https://www.kkbox.com/tw/tc/song/pvM00.WC1C3tFGZrtFGZr0XL-index.html,
Finesse - Remix; feat. Cardi B,Bruno Mars (火星人布魯諾),https://www.kkbox.com/tw/tc/song/-pw004PELO377TKJ77TKJ0XL-index.html,
Heaven,Various Artists,https://www.kkbox.com/tw/tc/song/rhF00OO4G8J-pto5-pto50XL-index.html,
Natural,Imagine Dragons (謎幻樂團),https://www.kkbox.com/tw/tc/song/kpZ00W08OHnjg.pdjg.pd0XL-index.html,
Unlonely,Jason Mraz (傑森‧瑪耶茲),https://www.kkbox.com/tw/tc/song/iZt00xpSqWn4WuS14WuS10XL-index.html,
Dreamer,Axwell /\ Ingrosso,https://www.kkbox.com/tw/tc/song/JXK009LGc43FEOO7FEOO70XL-index.html,
A Million Dreams,Various Artists,https://www.kkbox.com/tw/tc/song/xzLTX00wHT543gnTFgnTF0X4-index.html,
Love Me Like You Do,Various Artists,https://www.kkbox.com/tw/tc/song/xAVNR00w94G8JYkB5YkB50X4-index.html,
Youngblood,5 Seconds Of Summer (到暑五秒),https://www.kkbox.com/tw/tc/song/ZPy00QMQ4KZdXczfdXczf0XL-index.html,
The Other Side,Various Artists,https://www.kkbox.com/tw/tc/song/fQO004lT5437q-LF7q-LF0XL-index.html,
I'll Be There,Jess Glynne (潔絲葛琳),https://www.kkbox.com/tw/tc/song/5Gl00PlEO-Zc1BkBc1BkB0XL-index.html,
This Feeling,The Chainsmokers (老菸槍雙人組),https://www.kkbox.com/tw/tc/song/1lz00TLSlTnh2soxh2sox0XL-index.html,
Enemies,Lauv,https://www.kkbox.com/tw/tc/song/pZP00A8W4GnHDgtHHDgtH0XL-index.html,
Until The Day,林俊傑 (JJ Lin),https://www.kkbox.com/tw/tc/song/Vht00DlP3K3M9hHjM9hHj0XL-index.html,
Born To Be Yours,Kygo Imagine Dragons,https://www.kkbox.com/tw/tc/song/CGH0087TnWnCOa29COa290XL-index.html,
Maybe It's Time,Lady Gaga Bradley Cooper,https://www.kkbox.com/tw/tc/song/BZY00GHOOLZOYCo3OYCo30XL-index.html,
Riff Off,Various Artists,https://www.kkbox.com/tw/tc/song/y0W00E0C1C3MeizrMeizr0XL-index.html,
I'll Never Love Again - Film Version,Lady Gaga Bradley Cooper,https://www.kkbox.com/tw/tc/song/Gh600QIOOLZdI8L3dI8L30XL-index.html,
Ignite,K-391,https://www.kkbox.com/tw/tc/song/iqK00Pn884nc85T5c85T50XL-index.html,
Naked,James Arthur (詹姆斯亞瑟),https://www.kkbox.com/tw/tc/song/H4C00H6DHYIQagcKQagcK0XL-index.html,
Beautiful (feat. Camila Cabello),Bazzi,https://www.kkbox.com/tw/tc/song/vj300LcHq5JXs-7tXs-7t0XL-index.html,
Stranger Things,Kygo (凱戈),https://www.kkbox.com/tw/tc/song/F.H00wcI9MI1gfTs1gfTs0XL-index.html,
Stay - 衛視中文台<加油吧！河娜>、<月光下的童話>片尾曲/八大戲劇台<悄悄話>片頭曲、<勇敢的女人>片尾曲/台視<舉重妖精金福珠>片頭片尾曲,李玖哲 (Nicky Lee),https://www.kkbox.com/tw/tc/song/7XL0083HsYIC8DTgC8DTg0XL-index.html,
God is a woman,Ariana Grande (亞莉安娜),https://www.kkbox.com/tw/tc/song/u0Z00X6T9LJmU5xlmU5xl0XL-index.html,
Panama,Matteo,https://www.kkbox.com/tw/tc/song/nXG009nW.G3GKZtvGKZtv0XL-index.html,
Connection,OneRepublic (共和世代),https://www.kkbox.com/tw/tc/song/bX600L82453WelajWelaj0XL-index.html,
Burn Out,Martin Garrix Justin Mylo,https://www.kkbox.com/tw/tc/song/0q.00A7Ld5ZH8zKBH8zKB0XL-index.html,
Him & I,G-Eazy,https://www.kkbox.com/tw/tc/song/nHj00-L15C3qYbirqYbir0XL-index.html,
Waste It On Me,Steve Aoki (史帝夫．青木),https://www.kkbox.com/tw/tc/song/JRn00DKK65nL8LMxL8LMx0XL-index.html,
I Know You,Craig David (克雷格大衛),https://www.kkbox.com/tw/tc/song/0AC00QMaKW3dYojndYojn0XL-index.html,
End Game,Taylor Swift (泰勒絲),https://www.kkbox.com/tw/tc/song/-Jk00CH.a43Ia3aNIa3aN0XL-index.html,
In My Feelings,Drake (德瑞克),https://www.kkbox.com/tw/tc/song/cSg00ONCp1J-mw-D-mw-D0XL-index.html,
Everybody Hates Me,The Chainsmokers (老菸槍雙人組),https://www.kkbox.com/tw/tc/song/UDc00aLSlTnvMQ-xvMQ-x0XL-index.html,
Nervous (緊張),Shawn Mendes (尚恩曼德斯),https://www.kkbox.com/tw/tc/song/pqi00.PY0KntDdpLtDdpL0XL-index.html,
Self Control,Bebe Rexha (碧碧蕾克莎),https://www.kkbox.com/tw/tc/song/d0o00E8S8WnNAnbXNAnbX0XL-index.html,
No Excuses,Meghan Trainor (梅根崔娜),https://www.kkbox.com/tw/tc/song/IdP00T7TdOJg-WwDg-WwD0XL-index.html,
Sit Still  Look Pretty,Various Artists,https://www.kkbox.com/tw/tc/song/nzU00PkC1C3bwzlrbwzlr0XL-index.html,
breathin,Ariana Grande (亞莉安娜),https://www.kkbox.com/tw/tc/song/ctt00PqT9LJcLa3lcLa3l0XL-index.html,
Chasing Fire,Lauv,https://www.kkbox.com/tw/tc/song/qv200SlXoSJfbsMPfbsMP0XL-index.html,
High,Various Artists,https://www.kkbox.com/tw/tc/song/gx900-84G8Jq8Aa5q8Aa50XL-index.html,
Hola (feat. Maluma),Flo Rida (佛羅里達),https://www.kkbox.com/tw/tc/song/Yli009ID6YIF2c8CF2c8C0XL-index.html,
The Way I Am,CHARLIE PUTH (CP查理),https://www.kkbox.com/tw/tc/song/Wsl00M6954nYwMGDYwMGD0XL-index.html,
Sick Boy,The Chainsmokers (老菸槍雙人組),https://www.kkbox.com/tw/tc/song/iCB00CMSlTnIsF5xIsF5x0XL-index.html,
MIC Drop (feat. Desiigner) [Steve Aoki Remix],BTS防彈少年團 (BANGTAN BOYS),https://www.kkbox.com/tw/tc/song/wbi00M45kaIYoRrkYoRrk0XL-index.html,
I See Love - From Hotel Transylvania 3,Jonas Blue (強納斯布魯),https://www.kkbox.com/tw/tc/song/z7Z00aHCH93v5ZMBv5ZMB0XL-index.html,
Dancing,Kylie Minogue (凱莉米洛),https://www.kkbox.com/tw/tc/song/TWZ006JT6W3BZ5TnBZ5Tn0XL-index.html,
Call Out My Name,The Weeknd (威肯),https://www.kkbox.com/tw/tc/song/LTX00wPHb4Z1AGhn1AGhn0XL-index.html,
Come Alive,Various Artists,https://www.kkbox.com/tw/tc/song/gAp00GXT543P8p7FP8p7F0XL-index.html,
No Brainer,DJ Khaled (DJ卡利),https://www.kkbox.com/tw/tc/song/RHr00SkY51Jf-6ixf-6ix0XL-index.html,
Fly,Marshmello,https://www.kkbox.com/tw/tc/song/9S3009L09SJFCmElFCmEl0XL-index.html,
High On Life,Martin Garrix (馬汀 蓋瑞克斯),https://www.kkbox.com/tw/tc/song/M.c00GY8G1JPAac5PAac50XL-index.html,
