歌曲,歌手,連結,歌詞
Havana,Camila Cabello (哈瓦那情人 卡蜜拉),https://www.kkbox.com/tw/tc/song/4Rl00OL.HS3-hepN-hepN0XL-index.html,
So Far Away,Martin Garrix David Guetta,https://www.kkbox.com/tw/tc/song/4IG00S9.003eKDCZeKDCZ0XL-index.html,
FRIENDS,Marshmello & Anne-Marie,https://www.kkbox.com/tw/tc/song/VMN00GtDZ8JQC2QDQC2QD0XL-index.html,
Girls Like You,Maroon 5 (魔力紅),https://www.kkbox.com/tw/tc/song/VNC00IPL58nTlbIHTlbIH0XL-index.html,
The Middle,Zedd Maren Morris Grey,https://www.kkbox.com/tw/tc/song/w-x009G.PW3ExLUvExLUv0XL-index.html,
Capital Letters,Various Artists,https://www.kkbox.com/tw/tc/song/X.Z00Y74G8Jos3d5os3d50XL-index.html,
For You (Fifty Shades Freed),Various Artists,https://www.kkbox.com/tw/tc/song/E4r00MN4G8JZ.mr5Z.mr50XL-index.html,
Shallow,Lady Gaga Bradley Cooper,https://www.kkbox.com/tw/tc/song/UUu00.1OOLZs7zM3s7zM30XL-index.html,
This Is Me,Various Artists,https://www.kkbox.com/tw/tc/song/CEq00L1T543WI.zFWI.zF0XL-index.html,
Solo (feat. Demi Lovato),Clean Bandit (清潔的盜賊),https://www.kkbox.com/tw/tc/song/fLN00A06O4nGgrjpGgrjp0XL-index.html,
Perfect Duet (with Beyoncé),Ed Sheeran (紅髮艾德),https://www.kkbox.com/tw/tc/song/oKM00C9GL43ISKmzISKmz0XL-index.html,
Rewrite The Stars,Various Artists,https://www.kkbox.com/tw/tc/song/nnM009HT543F0LDFF0LDF0XL-index.html,
Darkside,Alan Walker (艾倫沃克),https://www.kkbox.com/tw/tc/song/TyE004419X36Cumn6Cumn0XL-index.html,
Too Good At Goodbyes (擅長告別) - Edit,Sam Smith (山姆史密斯),https://www.kkbox.com/tw/tc/song/2CK00wdLLQI1kjjg1kjjg0XL-index.html,
Have It All,Jason Mraz (傑森‧瑪耶茲),https://www.kkbox.com/tw/tc/song/4Rb00WrD5WZluE8VluE8V0XL-index.html,
Moonlight (feat. Tia Ray),潘瑋柏 (Will Pan),https://www.kkbox.com/tw/tc/song/NK700-G.p5JqJ62lqJ62l0XL-index.html,
In My Blood,Shawn Mendes (尚恩曼德斯),https://www.kkbox.com/tw/tc/song/WMf00wk5W4Z1n3Jv1n3Jv0XL-index.html,
Done for Me (feat. Kehlani),CHARLIE PUTH (CP查理),https://www.kkbox.com/tw/tc/song/WlL00SP8IWJer.4Der.4D0XL-index.html,
no tears left to cry,Ariana Grande (亞莉安娜),https://www.kkbox.com/tw/tc/song/cVs00E6T9LJN3LHlN3LHl0XL-index.html,
Never Be the Same,Camila Cabello (哈瓦那情人 卡蜜拉),https://www.kkbox.com/tw/tc/song/NeJ00MK.HS3ZTZsNZTZsN0XL-index.html,
2002,Anne-Marie,https://www.kkbox.com/tw/tc/song/28G00D-9qSZLhajnLhajn0XL-index.html,
Head Above Water,Avril Lavigne (艾薇兒),https://www.kkbox.com/tw/tc/song/7v000DKDIDZL7jnfL7jnf0XL-index.html,
Always Remember Us This Way,Lady Gaga Bradley Cooper,https://www.kkbox.com/tw/tc/song/N0w00I1OOLZShEe3ShEe30XL-index.html,
Ashes - from "Deadpool 2" Motion Picture Soundtrack,Celine Dion (席琳狄翁),https://www.kkbox.com/tw/tc/song/8cz00WlXK4nl.HOpl.HOp0XL-index.html,
What Lovers Do,Maroon 5 (魔力紅),https://www.kkbox.com/tw/tc/song/AQk00Ts0OSniNtyhiNtyh0XL-index.html,
These Days (feat. Jess Glynne  Macklemore & Dan Caplen),Rudimental (根基樂團),https://www.kkbox.com/tw/tc/song/DuD00Sm86S3fd9Pjfd9Pj0XL-index.html,
Rise,Jonas Blue (強納斯布魯),https://www.kkbox.com/tw/tc/song/b6600a6DYGnumf91umf910XL-index.html,
Dancer,Flo Rida (佛羅里達),https://www.kkbox.com/tw/tc/song/4Mt00G2ClOJNylVTNylVT0XL-index.html,
I'll Never Love Again - Extended Version,Lady Gaga Bradley Cooper,https://www.kkbox.com/tw/tc/song/fos00C3OOLZI6Dc3I6Dc30XL-index.html,
Ocean,Martin Garrix (馬汀 蓋瑞克斯),https://www.kkbox.com/tw/tc/song/PCn00CN97WnIuD5PIuD5P0XL-index.html,
Let Me,Zayn (贊恩),https://www.kkbox.com/tw/tc/song/WaG00EJY2OZNUYjzNUYjz0XL-index.html,
Like I Do,David Guetta Martin Garrix Brooks,https://www.kkbox.com/tw/tc/song/e6R00X052OJm4swLm4swL0XL-index.html,
Never Enough,Various Artists,https://www.kkbox.com/tw/tc/song/Tqp00WlT543l-qlFl-qlF0XL-index.html,
Somebody,The Chainsmokers (老菸槍雙人組),https://www.kkbox.com/tw/tc/song/N2A00ALSlTnHc88xHc88x0XL-index.html,
Psycho,Post Malone (巨星馬龍),https://www.kkbox.com/tw/tc/song/tGz00Tb6K-ZhibSfhibSf0XL-index.html,
One Kiss,Calvin Harris (凱文哈里斯),https://www.kkbox.com/tw/tc/song/ilF00xk9NGZ4C0gF4C0gF0XL-index.html,
Patient (耐心),CHARLIE PUTH (CP查理),https://www.kkbox.com/tw/tc/song/Y7U00G12GCnNu2STNu2ST0XL-index.html,
Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez (席琳娜),https://www.kkbox.com/tw/tc/song/3sf00WIL84nkRc0.kRc0.0XL-index.html,
