歌曲,歌手,連結,歌詞
Better When You're Gone,David Guetta Brooks & Loote,https://www.kkbox.com/tw/tc/song/pa200-nS7-4rdo20rdo200XL-index.html,
Sunflower - Spider-Man: Into the Spider-Verse,Various Artists,https://www.kkbox.com/tw/tc/song/Ts700UG-5U3j94Erj94Er0XL-index.html,
No Sleep (feat. Bonn),Martin Garrix (馬汀 蓋瑞克斯),https://www.kkbox.com/tw/tc/song/4dM00C1.dOKHzv3EHzv3E0XL-index.html,
Rewrite The Stars,Various Artists,https://www.kkbox.com/tw/tc/song/ZyQ00Dc92PnLwizlLwizl0XL-index.html,
Head Above Water,Avril Lavigne (艾薇兒),https://www.kkbox.com/tw/tc/song/xtt005K.Y8K9F8-a9F8-a0XL-index.html,
Beautiful People (feat. Khalid),Ed Sheeran (紅髮艾德),https://www.kkbox.com/tw/tc/song/h2p00GkA9TKPdRDQPdRDQ0XL-index.html,
i'm so tired...,Lauv Troye Sivan,https://www.kkbox.com/tw/tc/song/jn700SPK004esfB-esfB-0XL-index.html,
Let Me Down Slowly (feat. Alessia Cara),Alec Benjamin,https://www.kkbox.com/tw/tc/song/8AT00-dQ16JrQSwdrQSwd0XL-index.html,
Sucker,Jonas Brothers (強納斯兄弟),https://www.kkbox.com/tw/tc/song/uYD00DOIP0-LN-BGLN-BG0XL-index.html,
Takeaway,The Chainsmokers (老菸槍雙人組),https://www.kkbox.com/tw/tc/song/pPv-M00wLGLL-un-Cun-C0X4-index.html,
A Whole New World (End Title),Various Artists,https://www.kkbox.com/tw/tc/song/Da300XcDmX4nk.5gnk.5g0XL-index.html,
Stand Out Fit In,ONE OK ROCK,https://www.kkbox.com/tw/tc/song/7TB0051L6.n8RxNT8RxNT0XL-index.html,
Memories,Maroon 5 (魔力紅),https://www.kkbox.com/tw/tc/song/YqT00P41OI4aOspoaOspo0XL-index.html,
You Need To Calm Down,Taylor Swift (泰勒絲),https://www.kkbox.com/tw/tc/song/9rG00HqHnLoSPaZaSPaZa0XL-index.html,
SOS,Avicii (艾維奇),https://www.kkbox.com/tw/tc/song/82f00TsToWoiQm-miQm-m0XL-index.html,
Who Do You Love,The Chainsmokers (老菸槍雙人組),https://www.kkbox.com/tw/tc/song/8xI00WpGLL-lmqsClmqsC0XL-index.html,
Hello My Love,Westlife (西城男孩),https://www.kkbox.com/tw/tc/song/JlT00GaK644PQzTsPQzTs0XL-index.html,
Call You Mine,The Chainsmokers (老菸槍雙人組),https://www.kkbox.com/tw/tc/song/Afd00SLGLL-ed60Ced60C0XL-index.html,
365,Zedd Katy Perry (捷德 & 凱蒂佩芮),https://www.kkbox.com/tw/tc/song/fur00Dr5J8KMUiQyMUiQy0XL-index.html,
bad guy (with Justin Bieber),Billie Eilish Justin Bieber,https://www.kkbox.com/tw/tc/song/Eg600Ks.Y9-W7y.OW7y.O0XL-index.html,
Rescue Me,OneRepublic (共和世代),https://www.kkbox.com/tw/tc/song/.bS00XlXlP4nxvISnxvIS0XL-index.html,
Mama (feat. Ellie Goulding),Clean Bandit (清潔的盜賊),https://www.kkbox.com/tw/tc/song/tL400SIHHI3eTmMReTmMR0XL-index.html,
Old Town Road - Remix,Lil Nas X,https://www.kkbox.com/tw/tc/song/ZmZ00Pb12PKbk-DUbk-DU0XL-index.html,
Lover,Taylor Swift (泰勒絲),https://www.kkbox.com/tw/tc/song/Y-300ULHnLojQVQajQVQa0XL-index.html,
10000 Hours,Dan + Shay & Justin Bieber,https://www.kkbox.com/tw/tc/song/FX70063LXQ4AwErKAwErK0XL-index.html,
Natural,Imagine Dragons (謎幻樂團),https://www.kkbox.com/tw/tc/song/kpZ00W08OHnjg.pdjg.pd0XL-index.html,
Play,K-391 Alan Walker Tungevaag,https://www.kkbox.com/tw/tc/song/tIc00TIA1HogpiU2gpiU20XL-index.html,
boyfriend,Ariana Grande Social House,https://www.kkbox.com/tw/tc/song/W6r00..TOX-t-4yGt-4yG0XL-index.html,
Tell Me It's Over,Avril Lavigne (艾薇兒),https://www.kkbox.com/tw/tc/song/WBz009o.Y8KGOtSaGOtSa0XL-index.html,
Swan Song - <艾莉塔：戰鬥天使>電影主題曲,Dua Lipa,https://www.kkbox.com/tw/tc/song/Qzb004ZPcK47NkWO7NkWO0XL-index.html,
Carry On (from the Original Motion Picture "POKÉMON Detective Pikachu"),Kygo Rita Ora,https://www.kkbox.com/tw/tc/song/9Xm00WbSW-olLWJalLWJa0XL-index.html,
Beach House,The Chainsmokers (老菸槍雙人組),https://www.kkbox.com/tw/tc/song/84I00TqC.Y3iHSfviHSfv0XL-index.html,
Never Really Over,Katy Perry (凱蒂佩芮),https://www.kkbox.com/tw/tc/song/OKN005lY61KAFgNaAFgNa0XL-index.html,
wish you were gay,Billie Eilish (怪奇比莉),https://www.kkbox.com/tw/tc/song/V3b00DXQ2KoLZhPaLZhPa0XL-index.html,
Fire On Fire - From "Watership Down",Sam Smith (山姆史密斯),https://www.kkbox.com/tw/tc/song/deJ00w.I7a31XEdj1XEdj0XL-index.html,
San Francisco (feat. Sofia Carson),Galantis,https://www.kkbox.com/tw/tc/song/eoo004.0OU37SuAV7SuAV0XL-index.html,
break up with your girlfriend  i'm bored,Ariana Grande (亞莉安娜),https://www.kkbox.com/tw/tc/song/J-J00S0C.8KdjXpUdjXpU0XL-index.html,
Let You Love Me,Rita Ora (芮塔歐拉),https://www.kkbox.com/tw/tc/song/P0m00O-1tPn.CfCt.CfCt0XL-index.html,
Back to Life - from "Bumblebee",Hailee Steinfeld,https://www.kkbox.com/tw/tc/song/ml300O5I7a3-5kDj-5kDj0XL-index.html,
Please Me,Cardi B & Bruno Mars,https://www.kkbox.com/tw/tc/song/o1700-O12GKqi3Siqi3Si0XL-index.html,
Are You Lonely,Steve Aoki Alan Walker,https://www.kkbox.com/tw/tc/song/GVo00YP0tCKp.-1Ip.-1I0XL-index.html,
Next Level,Various Artists,https://www.kkbox.com/tw/tc/song/0TB00WpCaD-lmX6SlmX6S0XL-index.html,
Don’t Call Me Angel (Charlie’s Angels),Various Artists,https://www.kkbox.com/tw/tc/song/8Wy0061U8MKApTymApTym0XL-index.html,
Everything I Need,Rupert Gregson-Williams,https://www.kkbox.com/tw/tc/song/MK3006GKY5-BMmCoBMmCo0XL-index.html,
Giant,Calvin Harris Rag'n'Bone Man,https://www.kkbox.com/tw/tc/song/59r00-3TO04pr-2opr-2o0XL-index.html,
How Do You Sleep?,Sam Smith (山姆史密斯),https://www.kkbox.com/tw/tc/song/PqH00QJI39-dLRS0dLRS00XL-index.html,
Goodbyes,Post Malone (巨星馬龍),https://www.kkbox.com/tw/tc/song/L-e00H9PZ1-QnL1OQnL1O0XL-index.html,
Solo (feat. Demi Lovato),Clean Bandit (清潔的盜賊),https://www.kkbox.com/tw/tc/song/rex00C2HHI3I1kgRI1kgR0XL-index.html,
I Don't Wanna Go,Alan Walker (艾倫沃克),https://www.kkbox.com/tw/tc/song/Alz00OtSaI3a8NEJa8NEJ0XL-index.html,
Wasted Nights (虛擲光陰),ONE OK ROCK,https://www.kkbox.com/tw/tc/song/gO.00Dt9Y0KMalGyMalGy0XL-index.html,
Wow.,Post Malone (巨星馬龍),https://www.kkbox.com/tw/tc/song/pQV00-XAH6JquSatquSat0XL-index.html,
Good Thing,Zedd Kehlani,https://www.kkbox.com/tw/tc/song/U6q00-7GsQ4q5adSq5adS0XL-index.html,
Heaven,Avicii (艾維奇),https://www.kkbox.com/tw/tc/song/EED00xn4b5K4MxJm4MxJm0XL-index.html,
imagine,Ariana Grande (亞莉安娜),https://www.kkbox.com/tw/tc/song/2JX00wt8.8K2LcTy2LcTy0XL-index.html,
Don’t Feel Like Crying,Sigrid,https://www.kkbox.com/tw/tc/song/jFg005p-d44AV7SGAV7SG0XL-index.html,
Bones (feat. OneRepublic),Galantis,https://www.kkbox.com/tw/tc/song/uOw00xcTpS446MwO46MwO0XL-index.html,
Big Plans,Why Don't We,https://www.kkbox.com/tw/tc/song/mFR00CoDb44JvWa0JvWa00XL-index.html,
fuck  i'm lonely - from “13 Reasons Why: Season 3”,Lauv,https://www.kkbox.com/tw/tc/song/QUu7O00w1Pp9-6P006P000X4-index.html,
Circles,Post Malone (巨星馬龍),https://www.kkbox.com/tw/tc/song/moa00Sp94Tofoj7afoj7a0XL-index.html,
Cruel Summer,Taylor Swift (泰勒絲),https://www.kkbox.com/tw/tc/song/hT800yLHnLo5gCya5gCya0XL-index.html,
Lose You To Love Me,Selena Gomez (席琳娜),https://www.kkbox.com/tw/tc/song/SGQ00EHQGIKNMBZyNMBZy0XL-index.html,
Ritual,Tiësto Jonas Blue Rita Ora,https://www.kkbox.com/tw/tc/song/t7500D4PH.4KYjYcKYjYc0XL-index.html,
Talk,Khalid,https://www.kkbox.com/tw/tc/song/vZB00KaOd0KVOvYMVOvYM0XL-index.html,
you should see me in a crown,Billie Eilish (怪奇比莉),https://www.kkbox.com/tw/tc/song/SFn00.1Q2Kos8Exas8Exa0XL-index.html,
Somebody,The Chainsmokers (老菸槍雙人組),https://www.kkbox.com/tw/tc/song/PVG006MC.Y3Bgv7vBgv7v0XL-index.html,
R.I.P. (feat. Rita Ora & Anitta),Sofia Reyes,https://www.kkbox.com/tw/tc/song/kXE00.s4b-KuJGkeuJGke0XL-index.html,
Walk Me Home,P!nk (紅粉佳人),https://www.kkbox.com/tw/tc/song/QYV00a9PoGKuzJiiuzJii0XL-index.html,
Broken & Beautiful,Kelly Clarkson (凱莉克萊森),https://www.kkbox.com/tw/tc/song/d3-008K5oW-Cl0lcCl0lc0XL-index.html,
How You Love Me (feat. Conor Maynard & Snoop Dogg),Hardwell,https://www.kkbox.com/tw/tc/song/jvV00wcMH231h4Ff1h4Ff0XL-index.html,
Can You Feel the Love Tonight,Various Artists,https://www.kkbox.com/tw/tc/song/p0M004P-m5-79WK479WK40XL-index.html,
shut up,Greyson Chance (葛瑞森),https://www.kkbox.com/tw/tc/song/SHw00GsWIG-Q9vw8Q9vw80XL-index.html,
Runaway,Tiffany Young,https://www.kkbox.com/tw/tc/song/y9t008k9IGKDiLxyDiLxy0XL-index.html,
Baby (feat. MARINA & Luis Fonsi),Clean Bandit (清潔的盜賊),https://www.kkbox.com/tw/tc/song/p0v00.oDO5nu4sQTu4sQT0XL-index.html,
Earth,Lil Dicky,https://www.kkbox.com/tw/tc/song/qKp00IMOd14TaVKoTaVKo0XL-index.html,
There You Are,Zayn (贊恩),https://www.kkbox.com/tw/tc/song/6YQ00998ka3EqjQ7EqjQ70XL-index.html,
Someone You Loved,Lewis Capaldi,https://www.kkbox.com/tw/tc/song/So6004X5-Pn7EDE17EDE10XL-index.html,
Anxiety,Julia Michaels,https://www.kkbox.com/tw/tc/song/XqE00KdM6K4V-D.8V-D.80XL-index.html,
Live Fast - PUBGM,Alan Walker (艾倫沃克),https://www.kkbox.com/tw/tc/song/N.f00xm1aD-4IuKw4IuKw0XL-index.html,
Dumb Blonde (feat. Nicki Minaj),Avril Lavigne (艾薇兒),https://www.kkbox.com/tw/tc/song/FvD00.o.Y8Ku7Bsau7Bsa0XL-index.html,
Liar,Camila Cabello (哈瓦那情人 卡蜜拉),https://www.kkbox.com/tw/tc/song/BWy00-LTo.oq.Pryq.Pry0XL-index.html,
