歌曲,歌手,連結,歌詞
Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,SHAUN (숀),https://www.kkbox.com/tw/tc/song/25G00G-aHa3PLDnjPLDnj0XL-index.html,
Señorita,Shawn Mendes Camila Cabello,https://www.kkbox.com/tw/tc/song/Fto00a9D5PKuy3Tquy3Tq0XL-index.html,
Everything I Need - Film Version,Rupert Gregson-Williams,https://www.kkbox.com/tw/tc/song/F22009tGY5-GduJKGduJK0XL-index.html,
Different World,Alan Walker K-391 Sofia Carson,https://www.kkbox.com/tw/tc/song/tzk00.4T763sJvAjsJvAj0XL-index.html,
7 rings,Ariana Grande (亞莉安娜),https://www.kkbox.com/tw/tc/song/pI600EP8.8KNmv5yNmv5y0XL-index.html,
Speechless (Full),Various Artists,https://www.kkbox.com/tw/tc/song/CXZ00A8DmX4HC3XgHC3Xg0XL-index.html,
Here With Me,Marshmello,https://www.kkbox.com/tw/tc/song/WUG00Lo5PC-YEFbSYEFbS0XL-index.html,
On My Way,Alan Walker Sabrina Carpenter Farruko,https://www.kkbox.com/tw/tc/song/H3s00Ws9pG-lxl5Wlxl5W0XL-index.html,
bad guy,Billie Eilish (怪奇比莉),https://www.kkbox.com/tw/tc/song/EzK00KlQ2KoVgDJaVgDJa0XL-index.html,
thank u  next,Ariana Grande (亞莉安娜),https://www.kkbox.com/tw/tc/song/Z55Ar00w0C.8K1FPU1FPU0X4-index.html,
Dancing With A Stranger,Sam Smith Normani,https://www.kkbox.com/tw/tc/song/P1B00T8LmYJgb.3Tgb.3T0XL-index.html,
ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift (泰勒絲),https://www.kkbox.com/tw/tc/song/8ah00-1.O94pkgd-pkgd-0XL-index.html,
Lost Control,Alan Walker (艾倫沃克),https://www.kkbox.com/tw/tc/song/em800-dSaI3rQc0JrQc0J0XL-index.html,
I Don't Care,Ed Sheeran (紅髮艾德),https://www.kkbox.com/tw/tc/song/MWw00E59dL4MxfwcMxfwc0XL-index.html,
Lily,Alan Walker (艾倫沃克),https://www.kkbox.com/tw/tc/song/rtx00D9SaI3Kq6SJKq6SJ0XL-index.html,
Hope,The Chainsmokers (老菸槍雙人組),https://www.kkbox.com/tw/tc/song/N0G00I6C.Y3SzBtvSzBtv0XL-index.html,
A Whole New World,Various Artists,https://www.kkbox.com/tw/tc/song/Tsw00T8DmX4gaoDggaoDg0XL-index.html,
So Am I,Ava Max (艾娃麥絲),https://www.kkbox.com/tw/tc/song/4K.00TdDpOKhqvpyhqvpy0XL-index.html,
This Feeling,The Chainsmokers (老菸槍雙人組),https://www.kkbox.com/tw/tc/song/kiK00xqC.Y34ZAFv4ZAFv0XL-index.html,
If I Can't Have You,Shawn Mendes (尚恩曼德斯),https://www.kkbox.com/tw/tc/song/-iL00GI.O94ObJs-ObJs-0XL-index.html,
